# /net/astrogate/export/astrodata/EAGLE_snapshots/RefL0012N0188/snapshot_012_z003p017/snap_012_z003p017.0.hdf5
"persistence_ratio","persistence_nsigmas","persistence","persistence_pair","parent_index","parent_log_index","log_field_value","field_value","cell","critical_index","coords:0","coords:1","coords:2"
4.2945,6.193,0.037576,40,54,54,-1.9429,0.011406,4222.2,0,23.521,4.7184,13.716
-1,-1,1.7977e+308,54,-1,-1,-2.836,0.0014589,4424.2,0,19.528,7.1754,9.6753
-1,-1,-1,-1,-1,-1,-1.2694,0.05278,1969.1,-1,9.6518,4.2574,5.2353
-1,-1,-1,-1,-1,-1,-0.23261,0.05477,903.1,-1,7.4897,2.1173,7.1223
-1,-1,-1,-1,-1,-1,-1.2168,0.028912,2972.1,-1,10.124,4.0504,12.116
-1,-1,-1,-1,-1,-1,-1.5145,0.030263,2855.1,-1,11.937,5.6808,7.4934
-1,-1,-1,-1,-1,-1,-0.54339,0.16906,2733.1,-1,6.5623,2.0477,10.495
-1,-1,-1,-1,-1,-1,-0.11944,0.40326,2750.1,-1,5.9672,1.0272,9.685
-1,-1,-1,-1,-1,-1,-1.5369,0.020509,2511.1,-1,19.664,18.564,18.573
-1,-1,-1,-1,-1,-1,-1.425,0.037584,2466.1,-1,19.019,20.311,17.974
-1,-1,-1,-1,-1,-1,-1.3404,0.037584,2116.1,-1,17.996,21.808,17.772
-1,-1,-1,-1,-1,-1,-1.1891,0.05375,2532.1,-1,16.609,23.039,17.934
-1,-1,-1,-1,-1,-1,-1.75,0.01716,748.1,-1,19.416,13.375,19.962
-1,-1,-1,-1,-1,-1,-1.4773,0.018407,202.1,-1,18.795,10.288,20.283
-1,-1,-1,-1,-1,-1,-0.69289,0.048234,1368.1,-1,18.191,7.5396,20.294
-1,-1,-1,-1,-1,-1,-0.48405,0.3574,2433.1,-1,17.55,5.1437,20.016
-1,-1,-1,-1,-1,-1,-0.52474,0.29872,3021.1,-1,16.827,3.0189,19.547
-1,-1,-1,-1,-1,-1,-1.117,0.075661,1751.1,-1,14.351,22.884,16.274
-1,-1,-1,-1,-1,-1,-1.1658,0.077105,131.1,-1,13.611,21.67,14.174
-1,-1,-1,-1,-1,-1,-1.1112,0.059415,2654.1,-1,10.494,21.723,11.197
-1,-1,-1,-1,-1,-1,-1.2415,0.057341,1896.1,-1,7.0185,23.362,10.105
-1,-1,-1,-1,-1,-1,-0.32675,0.057341,435.1,-1,5.8783,23.714,9.8806
-1,-1,-1,-1,-1,-1,-0.95202,0.11168,195.1,-1,21.656,4.7555,16.713
-1,-1,-1,-1,-1,-1,-0.49339,0.11168,213.1,-1,23.219,5.0003,15.781
-1,-1,-1,-1,-1,-1,-1.1421,0.067848,114.1,-1,18.704,3.2942,18.156
-1,-1,-1,-1,-1,-1,-0.72694,0.076332,110.1,-1,17.362,2.1338,18.588
-1,-1,-1,-1,-1,-1,-0.87297,0.035564,1637.1,-1,11.242,17.456,6.6765
-1,-1,-1,-1,-1,-1,-0.83594,0.23239,2210.1,-1,11.671,18.561,8.3372
-1,-1,-1,-1,-1,-1,-1.2261,0.059415,2212.1,-1,12.194,19.549,10.126
-1,-1,-1,-1,-1,-1,-1.3569,0.035662,2804.1,-1,13.126,14.865,6.6736
-1,-1,-1,-1,-1,-1,-1.3126,0.037947,781.1,-1,14.471,18.516,12.177
-1,-1,-1,-1,-1,-1,-1.2575,0.030078,813.1,-1,10.088,9.397,6.5467
-1,-1,-1,-1,-1,-1,-0.41398,0.080469,272.1,-1,10.985,8.1664,5.041
-1,-1,-1,-1,-1,-1,-1.0943,0.021542,1147.1,-1,7.37,11.575,8.8752
-1,-1,-1,-1,-1,-1,-0.70999,0.13942,1689.1,-1,5.8326,12.468,9.6092
-1,-1,-1,-1,-1,-1,-0.83978,0.015686,1546.1,-1,12.74,1.3686,16.537
-1,-1,-1,-1,-1,-1,-0.43852,0.27355,2543.1,-1,14.144,1.037,17.804
-1,-1,-1,-1,-1,-1,-1.2818,0.052259,1422.1,-1,14.251,10.831,8.1333
-1,-1,-1,-1,-1,-1,-0.82512,0.048609,549.1,-1,3.4805,13.152,10.303
-1,-1,-1,-1,-1,-1,-1.3928,0.038882,742.1,-1,3.2644,22.103,14.846
-1,-1,-1,-1,-1,-1,-1.3678,0.042071,1718.1,-1,5.0082,22.241,13.309
-1,-1,-1,-1,-1,-1,-1.1578,0.043678,1905.1,-1,6.6442,22.555,11.829
-1,-1,-1,-1,-1,-1,-1.4487,0.044298,1777.1,-1,5.4048,19.867,20.115
-1,-1,-1,-1,-1,-1,-1.5706,0.026875,17.1,-1,4.0334,20.643,18.95
-1,-1,-1,-1,-1,-1,-1.4831,0.026875,147.1,-1,2.7184,21.379,17.713
-1,-1,-1,-1,-1,-1,-1.6724,0.021263,1720.1,-1,13.274,16.568,18.115
-1,-1,-1,-1,-1,-1,-1.5069,0.021263,2501.1,-1,13.759,19.056,17.953
-1,-1,-1,-1,-1,-1,-1.2341,0.040993,1736.1,-1,14.346,21.567,18.04
-1,-1,-1,-1,-1,-1,-1.4044,0.040875,2721.1,-1,17.14,14.281,11.082
-1,-1,-1,-1,-1,-1,-1.0339,0.092482,304.1,-1,6.5418,3.3343,13.208
